to multiple choice questions M 5060
to forecast future revenues D 118
to decreased sexual interest D 118
to challenge policy decisions D 118
to electric street railways D 117
to transact normal business D 116
to prostate cancer antigens D 116
to maintain normal systemic D 116
to generate further economic D 116
to consider whether patients D 116
to clinical disease activity D 116
to vitalize building materials D 114
to transact church business D 114
to suppress native religious D 114
to specific lysine residues D 114
to possible future expansion D 114
to parochial church councils D 114
to maximize system capacity D 114
to maintain global hegemony D 114
to indicate serious problems D 114
to evidence seized pursuant D 114
to describe bodily functions D 114
to tolerate higher inflation D 112
to preserve native languages D 112
to preserve church communion D 112
to maintain hidden reserves D 112
to generate needed revenues D 112
to forecast future manpower D 112
to economic reform programs D 112
to detailed public scrutiny D 112
to continue almost unbroken D 112
to authorize police officers D 112
to transmit orders directly D 110
to transmit mental disorder D 110
to suppress sexual activity D 110
to prostate cancer treatment D 110
to moderate severe censures D 110
to increased sodium delivery D 110
to generate spatial patterns D 110
to generate angular momentum D 110
to explaining policy outcomes D 110
to consumer credit agencies D 110
to attracting public attention D 110
to alleviate existing problems D 110
to specific policy outcomes D 109
to maintain family functioning D 109
to withstand severe vibration D 108
to specific spatial locations D 108
to regulate public services D 108
to overcome severe economic D 108
to organize another campaign D 108
to maintain normal epithelial D 108
to exercise utmost severity D 108
to exercise greater severity D 108
to estimate future inflation D 108
to continue without cessation D 108
to consider random variables D 108
to consider myself entitled D 108
to commence specie payments D 108
to allocate scarce economic D 108
to impaired biliary excretion D 107
to generate carbon monoxide D 107
to transmit verbal messages D 106
to postpone family formation D 106
to physical sexual maturity D 106
to maintain proper physical D 106
to maintain enough military D 106
to maintain airway clearance D 106
to literacy across languages D 106
to increased airway pressure D 106
to identify subtle variations D 106
to generate little enthusiasm D 106
to conserve sodium chloride D 106
to persuade without irritating D 105
to maintain stable dividend D 105
to parallel disease activity D 104
to overrule former decisions D 104
to negative versus positive D 104
to mobilize public attention D 104
to maintain tribal identity D 104
to maintain native languages D 104
to fourteen million children D 104
to describe enzyme kinetics D 104
to describe another incident D 104
to consider whether provision D 104
to clinical dental practice D 104
to transact common business D 102
to regulate sexual morality D 102
to organize special programs D 102
to minimize excess reserves D 102
to maintain rental property D 102
to maintain export controls D 102
to maintain active watchers D 102
to indicate common ancestry D 102
to indicate another possible D 102
to identify causal linkages D 102
to exercise ritual authority D 102
to evaluate policy decisions D 102
to distract french attention D 102
to continue cordial relations D 102
to commence another campaign D 102
to withstand closer scrutiny D 100
to transact formal business D 100
to separate fission products D 100
to scholars before proceeding D 100
to purposes merely literary D 100
to purchase houses rendered D 100
to preserve tender affection D 100
to organize training seminars D 100
to organize itself properly D 100
to minimize travel expenses D 100
to minimize further exposure D 100
to maintain boiler pressure D 100
to indicate active infection D 100
to identify penile vascular D 100
to heighten sexual response D 100
to enormous public pressure D 100
to describe recent progress D 100
to consider itself entitled D 100
to consider before performing D 100
to commence another intimacy D 100
to alleviate mental distress D 100
to upwardly mobile families D 98
to transfer skills acquired D 98
to specific policy positions D 98
to preserve family memories D 98
to nitrogen dioxide exposure D 98
to negotiate salary increases D 98
to negotiate prices directly D 98
to negotiate better treatment D 98
to maximize energy transfer D 98
to maintain sexual functioning D 98
to maintain french prestige D 98
to increased leakage currents D 98
to impaired mental functioning D 98
to identify target symptoms D 98
to hesitate before condemning D 98
to exercise greater economic D 98
to economic upward mobility D 98
to domestic market expansion D 98
to describe system dynamics D 98
to describe spatial variations D 98
to approach public officials D 98
to residual thermal stresses D 97
to improved family functioning D 97
to whatever farther analysis D 96
to separate policy decisions D 96
to regulate market activity D 96
to overcome severe physical D 96
to organize public relations D 96
to identify crucial variables D 96
to expenses already incurred D 96
to exercise further pressure D 96
to exercise enough pressure D 96
to discover tracts suitable D 96
to aircraft flight dynamics D 96
to skeletal muscle increases D 94
to restrict labour mobility D 94
to regulate public behaviour D 94
to regulate future relations D 94
to regulate credit expansion D 94
to postpone further treatment D 94
to perceive another dimension D 94
to overcome severe financial D 94
to overcome serious economic D 94
to maintain family prestige D 94
to indicate whether children D 94
to indicate various emotional D 94
to indicate sexual interest D 94
to generate greater enthusiasm D 94
to estimate future economic D 94
to enormous budget deficits D 94
to discover whether patients D 94
to consider sexual relations D 94
to consider public policies D 94
to classify plasma membrane D 94
to abrogate claims hallowed D 94
to domestic policy concerns D 93
to transmit landed property D 92
to suppress thyroid activity D 92
to separate sodium chloride D 92
to prohibit public officials D 92
to preserve french cultural D 92
to populate without foreseeing D 92
to overcome thermal agitation D 92
to maintain strict chastity D 92
to maintain soviet hegemony D 92
to indicate proper operation D 92
to identify police officers D 92
to dissecting aortic aneurysm D 92
to discover divers portable D 92
to discover another dimension D 92
to continue studying medicine D 92
to consider whether financial D 92
to consider issues pertaining D 92
to consider future expansion D 92
to consider direct military D 92
to commerce clause analysis D 92
to approach ethical dilemmas D 92
to advocate policy positions D 92
to suppress ovarian androgen D 91
to withstand severe physical D 90
to specific target behaviors D 90
to reinvest coupon payments D 90
to preserve french prestige D 90
to organize another movement D 90
to moderate soviet ambitions D 90
to minimize thermal pollution D 90
to maintain tariff barriers D 90
to instruct police officers D 90
to indicate special recovery D 90
to increased cranial pressure D 90
to evaluate spatial patterns D 90
to consider ethical dilemmas D 90
to concrete policy problems D 90
to alleviate severe symptoms D 90
to specific target segments D 88
to specific ethical dilemmas D 88
to redesign existing products D 88
to preserve native cultural D 88
to personal injury lawsuits D 88
to pediatric cancer patients D 88
to optimize system operation D 88
to negotiate sexual relations D 88
to modulate neural activity D 88
to minimize public attention D 88
to maintain upward pressure D 88
to indicate divine approval D 88
to increased reflex activity D 88
to heighten sexual interest D 88
to generate greater pressure D 88
to generate fiscal revenues D 88
to explicit sexual activity D 88
to exercise closer scrutiny D 88
to coalesce around specific D 88
to accredit teacher education D 88
to transmit urgent messages D 86
to suppress another rebellion D 86
to strengthen soviet military D 86
to restrain public officials D 86
to politely excuse yourself D 86
to organize public pressure D 86
to modulate enzyme activity D 86
to maintain proper hygienic D 86
to maintain normal routines D 86
to maintain global economic D 86
to irritate almost everyone D 86
to generate visual displays D 86
to exercise policy judgment D 86
to evaluate various policies D 86
to describe market segments D 86
to continue without financial D 86
to consider sexual activity D 86
to transmit sleeping sickness D 85
to withstand severe climatic D 84
to regulate carbon emissions D 84
to purchase school uniforms D 84
to preserve proper relations D 84
to possible soviet expansion D 84
to overcome tribal divisions D 84
to overcome heroin addiction D 84
to moderate bodily exercise D 84
to maximize carrying capacity D 84
to maintain public enthusiasm D 84
to identify cancer patients D 84
to hesitate before continuing D 84
to describe sexual behaviour D 84
to confront racism directly D 84
to alleviate severe epilepsy D 84
to preserve existing property D 83
to specific policy analysis D 82
to properly select patients D 82
to prohibit future violations D 82
to optimize tissue perfusion D 82
to negotiate better salaries D 82
to monetize budget deficits D 82
to maintain existing software D 82
to challenge french hegemony D 82
to traverse regions ennobled D 80
to resemble female genitalia D 80
to purchase sundry articles D 80
to purchase soviet military D 80
to publicly funded abortions D 80
to monetize fiscal deficits D 80
to increased police activity D 80
to identify vicious pleasures D 80
to generate further revenues D 80
to consider various economic D 80
to associate through hydrogen D 80
to positive family functioning D 58
to generate second harmonic D 53
to describe family functioning D 50
to maintain proper chemical D 44
to separate carbon monoxide D 41
